,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
223,11/04/2018,12°C/14°C,10°C/14°C,9°C/12°C,11°C/12°C,12°C/15°C
224,12/04/2018,13°C/17°C,11°C/16°C,12°C/17°C,12°C/17°C,13°C/17°C
225,13/04/2018,14°C/17°C,11°C/16°C,13°C/16°C,13°C/16°C,14°C/17°C
226,14/04/2018,14°C/17°C,11°C/16°C,14°C/17°C,14°C/17°C,14°C/16°C
227,15/04/2018,19°C/20°C,16°C/20°C,17°C/20°C,17°C/20°C,19°C/20°C
228,01/06/2018,20°C/24°C,17°C/24°C,20°C/23°C,20°C/23°C,20°C/24°C
229,02/06/2018,22°C/25°C,19°C/25°C,21°C/24°C,21°C/24°C,22°C/25°C
230,03/06/2018,20°C/25°C,19°C/25°C,21°C/25°C,21°C/25°C,19°C/25°C
231,04/06/2018,17°C/23°C,16°C/23°C,17°C/22°C,17°C/22°C,16°C/23°C
232,05/06/2018,20°C/25°C,19°C/24°C,20°C/23°C,20°C/23°C,19°C/26°C
233,06/06/2018,20°C/24°C,18°C/22°C,18°C/23°C,18°C/23°C,20°C/23°C
234,07/06/2018,22°C/25°C,19°C/25°C,22°C/24°C,22°C/24°C,22°C/25°C
235,08/06/2018,22°C/26°C,19°C/26°C,21°C/25°C,21°C/25°C,22°C/26°C
236,09/06/2018,22°C/26°C,19°C/25°C,22°C/24°C,22°C/24°C,22°C/26°C
237,10/06/2018,20°C/23°C,17°C/23°C,21°C/23°C,20°C/23°C,20°C/23°C
238,11/06/2018,15°C/18°C,15°C/18°C,16°C/18°C,16°C/18°C,15°C/19°C
239,12/06/2018,16°C/17°C,14°C/17°C,10°C/16°C,10°C/16°C,16°C/17°C
240,13/06/2018,17°C/21°C,15°C/20°C,17°C/20°C,17°C/20°C,16°C/20°C
241,14/06/2018,19°C/22°C,16°C/22°C,19°C/21°C,19°C/21°C,19°C/22°C
242,15/06/2018,18°C/21°C,16°C/20°C,17°C/21°C,17°C/21°C,18°C/21°C
243,16/06/2018,16°C/20°C,16°C/19°C,16°C/19°C,16°C/19°C,16°C/20°C
244,17/06/2018,18°C/22°C,18°C/21°C,18°C/22°C,18°C/22°C,18°C/22°C
245,18/06/2018,18°C/22°C,18°C/22°C,19°C/22°C,19°C/22°C,18°C/22°C
246,19/06/2018,23°C/28°C,21°C/27°C,22°C/27°C,22°C/27°C,23°C/28°C
247,20/06/2018,17°C/20°C,13°C/20°C,18°C/20°C,17°C/20°C,16°C/19°C
248,21/06/2018,16°C/20°C,14°C/20°C,16°C/19°C,16°C/19°C,17°C/20°C
249,22/06/2018,16°C/21°C,16°C/21°C,15°C/20°C,15°C/20°C,16°C/21°C
250,23/06/2018,19°C/22°C,16°C/22°C,18°C/21°C,18°C/21°C,19°C/22°C
251,24/06/2018,19°C/23°C,18°C/24°C,18°C/22°C,18°C/22°C,19°C/24°C
252,25/06/2018,21°C/25°C,19°C/26°C,21°C/25°C,21°C/25°C,21°C/25°C
253,26/06/2018,23°C/27°C,21°C/27°C,23°C/26°C,23°C/26°C,22°C/27°C
254,27/06/2018,23°C/26°C,21°C/26°C,22°C/25°C,22°C/25°C,23°C/26°C
255,28/06/2018,24°C/27°C,22°C/27°C,24°C/26°C,24°C/26°C,24°C/28°C
256,29/06/2018,25°C/30°C,24°C/29°C,25°C/29°C,25°C/29°C,24°C/29°C
257,30/06/2018,10°C/17°C,10°C/16°C,10°C/16°C,10°C/16°C,10°C/16°C
258,24/10/2018,13°C/17°C,13°C/18°C,14°C/16°C,12°C/16°C,14°C/18°C
259,25/10/2018,11°C/15°C,10°C/16°C,12°C/15°C,11°C/15°C,11°C/15°C
260,26/10/2018,10°C/13°C,8°C/13°C,10°C/12°C,10°C/12°C,10°C/13°C
261,27/10/2018,7°C/10°C,5°C/9°C,7°C/10°C,7°C/10°C,7°C/10°C
262,28/10/2018,6°C/8°C,5°C/8°C,6°C/8°C,6°C/8°C,6°C/8°C
263,29/10/2018,4°C/6°C,4°C/6°C,5°C/7°C,5°C/7°C,4°C/6°C
264,30/10/2018,7°C/10°C,7°C/10°C,7°C/10°C,7°C/10°C,7°C/10°C
265,31/10/2018,7°C/11°C,7°C/11°C,7°C/11°C,7°C/11°C,7°C/11°C
266,16/04/2018,13°C/16°C,11°C/15°C,13°C/16°C,13°C/16°C,13°C/16°C
267,17/04/2018,15°C/21°C,14°C/20°C,15°C/20°C,15°C/20°C,15°C/21°C
268,18/04/2018,18°C/25°C,18°C/25°C,18°C/24°C,18°C/24°C,18°C/25°C
269,19/04/2018,20°C/27°C,19°C/26°C,20°C/26°C,20°C/26°C,20°C/27°C
270,20/04/2018,23°C/28°C,19°C/27°C,23°C/27°C,23°C/27°C,23°C/28°C
271,21/04/2018,21°C/27°C,20°C/27°C,22°C/26°C,22°C/26°C,21°C/27°C
272,22/04/2018,22°C/26°C,18°C/25°C,21°C/25°C,21°C/25°C,22°C/26°C
273,23/04/2018,16°C/19°C,13°C/18°C,16°C/18°C,16°C/18°C,15°C/18°C
274,24/04/2018,15°C/20°C,14°C/19°C,15°C/20°C,15°C/20°C,15°C/20°C
275,25/04/2018,13°C/15°C,9°C/15°C,13°C/16°C,13°C/16°C,12°C/15°C
276,26/04/2018,12°C/14°C,10°C/14°C,12°C/14°C,12°C/14°C,12°C/14°C
277,27/04/2018,14°C/18°C,12°C/18°C,14°C/18°C,14°C/18°C,14°C/18°C
278,28/04/2018,12°C/15°C,10°C/15°C,13°C/14°C,12°C/14°C,12°C/16°C
279,29/04/2018,10°C/12°C,9°C/11°C,9°C/12°C,9°C/12°C,9°C/11°C
280,30/04/2018,6°C/10°C,5°C/9°C,7°C/10°C,6°C/10°C,6°C/9°C
