,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
78,18/03/2019,7°C/12°C,6°C/11°C,6°C/11°C,6°C/11°C,7°C/11°C
79,19/03/2019,8°C/14°C,7°C/13°C,8°C/13°C,8°C/13°C,7°C/13°C
80,20/03/2019,10°C/15°C,9°C/15°C,9°C/14°C,9°C/14°C,9°C/15°C
81,21/03/2019,11°C/18°C,10°C/16°C,10°C/16°C,10°C/16°C,11°C/16°C
82,22/03/2019,14°C/22°C,12°C/20°C,12°C/19°C,12°C/19°C,13°C/20°C
83,23/03/2019,13°C/17°C,11°C/16°C,11°C/18°C,11°C/18°C,11°C/15°C
84,24/03/2019,8°C/12°C,8°C/12°C,7°C/11°C,7°C/11°C,9°C/13°C
85,25/03/2019,8°C/11°C,7°C/11°C,8°C/11°C,8°C/11°C,8°C/11°C
86,26/03/2019,7°C/13°C,6°C/12°C,7°C/12°C,7°C/12°C,7°C/12°C
87,27/03/2019,8°C/14°C,8°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C
88,28/03/2019,9°C/13°C,9°C/12°C,9°C/13°C,9°C/13°C,9°C/12°C
89,29/03/2019,11°C/17°C,10°C/16°C,10°C/17°C,10°C/17°C,10°C/17°C
90,30/03/2019,12°C/19°C,11°C/18°C,11°C/18°C,11°C/18°C,12°C/19°C
91,31/03/2019,15°C/20°C,14°C/19°C,13°C/19°C,13°C/19°C,14°C/19°C
92,01/04/2019,12°C/20°C,12°C/19°C,12°C/19°C,12°C/19°C,11°C/19°C
93,02/04/2019,14°C/17°C,8°C/15°C,13°C/16°C,13°C/16°C,14°C/16°C
94,03/04/2019,7°C/11°C,6°C/10°C,6°C/10°C,6°C/10°C,7°C/11°C
95,04/04/2019,7°C/12°C,5°C/11°C,6°C/11°C,6°C/11°C,6°C/11°C
96,05/04/2019,8°C/13°C,7°C/12°C,6°C/12°C,6°C/12°C,8°C/13°C
97,06/04/2019,9°C/16°C,9°C/15°C,8°C/16°C,8°C/16°C,9°C/16°C
98,07/04/2019,10°C/15°C,9°C/15°C,9°C/15°C,9°C/15°C,9°C/15°C
99,01/02/2019,3°C/6°C,2°C/5°C,3°C/6°C,3°C/6°C,2°C/5°C
100,02/02/2019,3°C/5°C,2°C/4°C,3°C/5°C,3°C/5°C,3°C/5°C
101,03/02/2019,2°C/5°C,1°C/4°C,2°C/5°C,2°C/5°C,1°C/4°C
102,04/02/2019,2°C/4°C,1°C/3°C,1°C/4°C,1°C/4°C,2°C/4°C
103,05/02/2019,2°C/7°C,1°C/7°C,2°C/8°C,2°C/8°C,1°C/7°C
104,06/02/2019,5°C/10°C,6°C/10°C,5°C/9°C,5°C/9°C,6°C/10°C
105,07/02/2019,9°C/10°C,8°C/10°C,9°C/10°C,8°C/10°C,8°C/10°C
106,08/02/2019,8°C/10°C,7°C/10°C,8°C/9°C,8°C/9°C,8°C/10°C
107,01/01/2019,7°C/9°C,7°C/9°C,7°C/8°C,7°C/8°C,8°C/9°C
108,02/01/2019,5°C/8°C,4°C/7°C,4°C/7°C,4°C/7°C,4°C/7°C
109,03/01/2019,3°C/7°C,2°C/6°C,2°C/6°C,2°C/6°C,3°C/6°C
110,04/01/2019,2°C/6°C,0°C/5°C,1°C/5°C,1°C/5°C,2°C/5°C
111,05/01/2019,3°C/6°C,3°C/6°C,2°C/6°C,2°C/6°C,3°C/6°C
112,06/01/2019,3°C/5°C,0°C/5°C,4°C/5°C,4°C/5°C,4°C/5°C
113,07/01/2019,5°C/7°C,5°C/8°C,5°C/6°C,5°C/6°C,6°C/8°C
114,08/01/2019,7°C/9°C,6°C/8°C,7°C/8°C,7°C/8°C,7°C/9°C
115,09/01/2019,5°C/7°C,4°C/6°C,5°C/6°C,5°C/6°C,4°C/7°C
116,10/01/2019,2°C/5°C,2°C/5°C,1°C/4°C,1°C/4°C,2°C/5°C
117,11/01/2019,4°C/7°C,4°C/7°C,3°C/6°C,10°C/11°C,9°C/11°C
